"","Groupe","Cocktail","Ingrédients","Recette","Images"
"11","96-grands-classiques","cosmopolitan","2 cl de triple sec (cointreau, grand marnier)","
			Réalisez la recette ""Cosmopolitan"" au shaker.		 
			Frapper les ingrédients avec des glaçons et verser dans le verre en filtrant.		 
			Servir dans un verre de type ""verre à martini"".		 
			Eventuellement une rondelle de citron sur le bord du verre.		","https://assets.afcdn.com/recipe/20180705/80274_w512h384c1cx2378cy1278.jpg"
"12","96-grands-classiques","cosmopolitan","2 cl de jus de cranberry (canneberges)","
			Réalisez la recette ""Cosmopolitan"" au shaker.		 
			Frapper les ingrédients avec des glaçons et verser dans le verre en filtrant.		 
			Servir dans un verre de type ""verre à martini"".		 
			Eventuellement une rondelle de citron sur le bord du verre.		","https://assets.afcdn.com/recipe/20180705/80274_w512h384c1cx2378cy1278.jpg"
"13","96-grands-classiques","cosmopolitan","1 cl de jus de citrons verts","
			Réalisez la recette ""Cosmopolitan"" au shaker.		 
			Frapper les ingrédients avec des glaçons et verser dans le verre en filtrant.		 
			Servir dans un verre de type ""verre à martini"".		 
			Eventuellement une rondelle de citron sur le bord du verre.		","https://assets.afcdn.com/recipe/20180705/80274_w512h384c1cx2378cy1278.jpg"
"14","96-grands-classiques","punch","100 cl de rhum blanc","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"15","96-grands-classiques","punch","50 cl de sirop de sucre de canne","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"16","96-grands-classiques","punch","100 cl de jus d'oranges","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"17","96-grands-classiques","punch","100 cl de jus d'ananas","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"18","96-grands-classiques","punch","100 cl de jus de pamplemousses","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"19","96-grands-classiques","punch","1 cannelle","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"20","96-grands-classiques","punch","3 sachets de thé","
			Réalisez la recette ""Punch"" directement en bouteilles.		 
			Faire infuser 3 sachets de thé et un bâton de cannelle dans un verre d'eau bouillante pendant 5 minutes.
Si vous n'avez pas de bâtons de cannelle, utilisez du sirop de cannelle ou saupoudrez de cannelle en poudre.
Ensuite, mélanger le tout dans une grande bouteille à eau de 5 l, très pratique pour mettre au réfrigérateur. Ou dans un saladier, pour servir avec une louche. A servir frais.		 
			Servir dans un verre de type """".		","https://assets.afcdn.com/recipe/20180705/80349_w512h384c1cx2208cy2125.jpg"
"21","96-grands-classiques","caipirinha","6 cl de cachaça","
			Réalisez la recette ""Caipirinha"" directement dans le verre.		 
			Lavez le citron vert et coupez les deux extrémités. Coupez le citron en 8 ou 9 morceaux et retirez la partie blanche centrale responsable de l'amertume. Placez les morceaux dans le verre et versez une bonne cuillère à soupe de sucre. Pilez fermement le tout dans le verre avec le sucre en poudre jusqu'à l'extraction la plus complète possible du jus. Recouvrir le mélange citron-sucre d'une bonne couche de glace pilée, concassée ou de glaçons simples (ras bord), puis faire le niveau à la cachaça jusqu'à un doigt du bord. Ne pas rajouter de sucre après l'adjonction de la glace (le nouveau sucre ne se dissout plus). Mélanger legèrement avec un mélangeur et servir avec une ou deux petites pailles (au cas où l'une soit bouchée par la glace ou la pulpe du citron).		 
			Servir dans un verre de type ""old fashioned"".		","https://assets.afcdn.com/recipe/20180705/80337_w512h384c1cx2896cy3132.jpg"
"22","96-grands-classiques","caipirinha","1 citron vert","
			Réalisez la recette ""Caipirinha"" directement dans le verre.		 
			Lavez le citron vert et coupez les deux extrémités. Coupez le citron en 8 ou 9 morceaux et retirez la partie blanche centrale responsable de l'amertume. Placez les morceaux dans le verre et versez une bonne cuillère à soupe de sucre. Pilez fermement le tout dans le verre avec le sucre en poudre jusqu'à l'extraction la plus complète possible du jus. Recouvrir le mélange citron-sucre d'une bonne couche de glace pilée, concassée ou de glaçons simples (ras bord), puis faire le niveau à la cachaça jusqu'à un doigt du bord. Ne pas rajouter de sucre après l'adjonction de la glace (le nouveau sucre ne se dissout plus). Mélanger legèrement avec un mélangeur et servir avec une ou deux petites pailles (au cas où l'une soit bouchée par la glace ou la pulpe du citron).		 
			Servir dans un verre de type ""old fashioned"".		","https://assets.afcdn.com/recipe/20180705/80337_w512h384c1cx2896cy3132.jpg"
"23","96-grands-classiques","caipirinha","1 cuillère à soupe de sucre","
			Réalisez la recette ""Caipirinha"" directement dans le verre.		 
			Lavez le citron vert et coupez les deux extrémités. Coupez le citron en 8 ou 9 morceaux et retirez la partie blanche centrale responsable de l'amertume. Placez les morceaux dans le verre et versez une bonne cuillère à soupe de sucre. Pilez fermement le tout dans le verre avec le sucre en poudre jusqu'à l'extraction la plus complète possible du jus. Recouvrir le mélange citron-sucre d'une bonne couche de glace pilée, concassée ou de glaçons simples (ras bord), puis faire le niveau à la cachaça jusqu'à un doigt du bord. Ne pas rajouter de sucre après l'adjonction de la glace (le nouveau sucre ne se dissout plus). Mélanger legèrement avec un mélangeur et servir avec une ou deux petites pailles (au cas où l'une soit bouchée par la glace ou la pulpe du citron).		 
			Servir dans un verre de type ""old fashioned"".		","https://assets.afcdn.com/recipe/20180705/80337_w512h384c1cx2896cy3132.jpg"
"24","96-grands-classiques","margarita","5 cl de tequila","
			Réalisez la recette ""Margarita"" au shaker.		 
			Frapper les ingrédients au shaker avec des glaçons puis verser dans le verre givré au citron et au sel fin...
Pour givrer facilement le verre, passer le citron sur le bord du verre et tremper les bords dans le sel.		 
			Servir dans un verre de type ""verre à margarita"".		 
			Décorer d'une tranche de citron vert...		","https://assets.afcdn.com/recipe/20180705/80288_w512h384c1cx1473cy1313.jpg"
"25","96-grands-classiques","margarita","3 cl de triple sec (cointreau, grand marnier)","
			Réalisez la recette ""Margarita"" au shaker.		 
			Frapper les ingrédients au shaker avec des glaçons puis verser dans le verre givré au citron et au sel fin...
Pour givrer facilement le verre, passer le citron sur le bord du verre et tremper les bords dans le sel.		 
			Servir dans un verre de type ""verre à margarita"".		 
			Décorer d'une tranche de citron vert...		","https://assets.afcdn.com/recipe/20180705/80288_w512h384c1cx1473cy1313.jpg"
"26","96-grands-classiques","margarita","2 cl de jus de citrons verts","
			Réalisez la recette ""Margarita"" au shaker.		 
			Frapper les ingrédients au shaker avec des glaçons puis verser dans le verre givré au citron et au sel fin...
Pour givrer facilement le verre, passer le citron sur le bord du verre et tremper les bords dans le sel.		 
			Servir dans un verre de type ""verre à margarita"".		 
			Décorer d'une tranche de citron vert...		","https://assets.afcdn.com/recipe/20180705/80288_w512h384c1cx1473cy1313.jpg"
"27","96-grands-classiques","blue-lagoon","4 cl de vodka","
			Réalisez la recette ""Blue Lagoon"" au shaker.		 
			Pressez le jus d'un demi-citron, ajoutez dans le shaker avec les autres ingrédients et des glaçons. Frappez puis versez dans le verre en filtrant.
Afin qu'il soit plus frais et léger, remplissez auparavant le verre de glace pilée.		 
			Servir dans un verre de type ""verre à martini"".		 
			Un long zeste de citron vert.		","https://assets.afcdn.com/recipe/20180705/80346_w512h384c1cx1727cy777.jpg"
"28","96-grands-classiques","blue-lagoon","3 cl de curaçao bleu","
			Réalisez la recette ""Blue Lagoon"" au shaker.		 
			Pressez le jus d'un demi-citron, ajoutez dans le shaker avec les autres ingrédients et des glaçons. Frappez puis versez dans le verre en filtrant.
Afin qu'il soit plus frais et léger, remplissez auparavant le verre de glace pilée.		 
			Servir dans un verre de type ""verre à martini"".		 
			Un long zeste de citron vert.		","https://assets.afcdn.com/recipe/20180705/80346_w512h384c1cx1727cy777.jpg"
"29","96-grands-classiques","blue-lagoon","2 cl de jus de citrons","
			Réalisez la recette ""Blue Lagoon"" au shaker.		 
			Pressez le jus d'un demi-citron, ajoutez dans le shaker avec les autres ingrédients et des glaçons. Frappez puis versez dans le verre en filtrant.
Afin qu'il soit plus frais et léger, remplissez auparavant le verre de glace pilée.		 
			Servir dans un verre de type ""verre à martini"".		 
			Un long zeste de citron vert.		","https://assets.afcdn.com/recipe/20180705/80346_w512h384c1cx1727cy777.jpg"
"30","96-grands-classiques","sex-on-the-beach","3 cl de vodka","
			Réalisez la recette ""Sex on the beach"" dans un verre à mélange.		 
			Verser les alcools sur des glaçons, mélanger et compléter avec les jus de fruits
.		 
			Servir dans un verre de type ""verre tulipe"".		 
			Un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80336_w512h384c1cx1859cy2900.jpg"
"31","96-grands-classiques","sex-on-the-beach","2 cl de sirop de melon","
			Réalisez la recette ""Sex on the beach"" dans un verre à mélange.		 
			Verser les alcools sur des glaçons, mélanger et compléter avec les jus de fruits
.		 
			Servir dans un verre de type ""verre tulipe"".		 
			Un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80336_w512h384c1cx1859cy2900.jpg"
"32","96-grands-classiques","sex-on-the-beach","2 cl de chambord","
			Réalisez la recette ""Sex on the beach"" dans un verre à mélange.		 
			Verser les alcools sur des glaçons, mélanger et compléter avec les jus de fruits
.		 
			Servir dans un verre de type ""verre tulipe"".		 
			Un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80336_w512h384c1cx1859cy2900.jpg"
"33","96-grands-classiques","sex-on-the-beach","5 cl de jus d'ananas","
			Réalisez la recette ""Sex on the beach"" dans un verre à mélange.		 
			Verser les alcools sur des glaçons, mélanger et compléter avec les jus de fruits
.		 
			Servir dans un verre de type ""verre tulipe"".		 
			Un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80336_w512h384c1cx1859cy2900.jpg"
"34","96-grands-classiques","sex-on-the-beach","6 cl de jus de cranberry (canneberges)","
			Réalisez la recette ""Sex on the beach"" dans un verre à mélange.		 
			Verser les alcools sur des glaçons, mélanger et compléter avec les jus de fruits
.		 
			Servir dans un verre de type ""verre tulipe"".		 
			Un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80336_w512h384c1cx1859cy2900.jpg"
"35","96-grands-classiques","americano","2 cl de vermouth rouge (martini, cinzano)","
			Réalisez la recette ""Americano"" directement dans le verre.		 
			Verser les alcools sur les glaçons, allonger à l'eau gazeuse, remuer et servir.		 
			Servir dans un verre de type ""old fashioned"".		 
			Décorer d'une demi tranche et d'un zeste d'orange.		","https://assets.afcdn.com/recipe/20180801/81649_w512h384c1cx1766cy2888.jpg"
"36","96-grands-classiques","americano","4 cl de campari","
			Réalisez la recette ""Americano"" directement dans le verre.		 
			Verser les alcools sur les glaçons, allonger à l'eau gazeuse, remuer et servir.		 
			Servir dans un verre de type ""old fashioned"".		 
			Décorer d'une demi tranche et d'un zeste d'orange.		","https://assets.afcdn.com/recipe/20180801/81649_w512h384c1cx1766cy2888.jpg"
"37","96-grands-classiques","americano"," Eau gazeuse","
			Réalisez la recette ""Americano"" directement dans le verre.		 
			Verser les alcools sur les glaçons, allonger à l'eau gazeuse, remuer et servir.		 
			Servir dans un verre de type ""old fashioned"".		 
			Décorer d'une demi tranche et d'un zeste d'orange.		","https://assets.afcdn.com/recipe/20180801/81649_w512h384c1cx1766cy2888.jpg"
"38","96-grands-classiques","long-island-iced-tea","1.5 cl de vodka","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"39","96-grands-classiques","long-island-iced-tea","1.5 cl de gin","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"40","96-grands-classiques","long-island-iced-tea","1.5 cl de rhum blanc","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"41","96-grands-classiques","long-island-iced-tea","1.5 cl de triple sec (cointreau, grand marnier)","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"42","96-grands-classiques","long-island-iced-tea","1.5 cl de tequila","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"43","96-grands-classiques","long-island-iced-tea","1 cl de jus de citrons","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"44","96-grands-classiques","long-island-iced-tea","3 cl de cola (coca cola, pepsi)","
			Réalisez la recette ""Long island Iced Tea"" au shaker.		 
			Frapper tous les ingrédients sauf le cola au shaker avec quelques glaçons, et verser (en retenant les glaçons) dans le verre contenant des glaçons. Complétez avec le cola.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer avec une tranche de citron.		","https://assets.afcdn.com/recipe/20180801/81657_w512h384c1cx2880cy1920.jpg"
"45","96-grands-classiques","bloody-mary","4 cl de vodka","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"46","96-grands-classiques","bloody-mary","12 cl de jus de tomates","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"47","96-grands-classiques","bloody-mary","1/2 cl de jus de citrons","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"48","96-grands-classiques","bloody-mary","1/2 cl de sauce worcestershire","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"49","96-grands-classiques","bloody-mary","2 gouttes de tabasco","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"50","96-grands-classiques","bloody-mary"," Sel de céleri","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"51","96-grands-classiques","bloody-mary"," Sel","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"52","96-grands-classiques","bloody-mary"," Poivre","
			Réalisez la recette ""Bloody Mary"" dans un verre à mélange.		 
			Agiter les ingrédients dans un verre à mélange avec des glaçons (pour refroidir sans trop diluer). Verser dans le verre, puis ajouter à convenance sel de céleri, sel et poivre. Décorer avec une tige de céleri et optionellement, une rondelle de citron.
Servir. .		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer d'une branche de celeri.		","https://assets.afcdn.com/recipe/20180801/81645_w512h384c1cx2200cy1227.jpg"
"53","96-grands-classiques","ti-punch","6 cl de rhum blanc","
			Réalisez la recette ""Ti' punch"" directement dans le verre.		 
			Ecrasez lentement le citron vert avec le sirop de sucre de canne et ajoutez le rhum.		 
			Servir dans un verre de type ""old fashioned"".		 
			Une rondelle de citron vert sur le bord du verre.		","https://assets.afcdn.com/recipe/20180814/81787_w512h384c1cx1932cy1288.jpg"
"54","96-grands-classiques","ti-punch","2 cl de sirop de sucre de canne","
			Réalisez la recette ""Ti' punch"" directement dans le verre.		 
			Ecrasez lentement le citron vert avec le sirop de sucre de canne et ajoutez le rhum.		 
			Servir dans un verre de type ""old fashioned"".		 
			Une rondelle de citron vert sur le bord du verre.		","https://assets.afcdn.com/recipe/20180814/81787_w512h384c1cx1932cy1288.jpg"
"55","96-grands-classiques","ti-punch","1 tranche de citron vert","
			Réalisez la recette ""Ti' punch"" directement dans le verre.		 
			Ecrasez lentement le citron vert avec le sirop de sucre de canne et ajoutez le rhum.		 
			Servir dans un verre de type ""old fashioned"".		 
			Une rondelle de citron vert sur le bord du verre.		","https://assets.afcdn.com/recipe/20180814/81787_w512h384c1cx1932cy1288.jpg"
